[data] 21318 MagnaTagATune clips | 50 tags
[proc] 12 workers, 1.5s segments, tau=0.35
  500/21318  ok=500  21.5 tracks/s  eta 16.1m
  1000/21318  ok=1000  22.8 tracks/s  eta 14.9m
  1500/21318  ok=1500  25.3 tracks/s  eta 13.0m
  2000/21318  ok=2000  24.9 tracks/s  eta 12.9m
  2500/21318  ok=2500  24.9 tracks/s  eta 12.6m
  3000/21318  ok=3000  25.5 tracks/s  eta 12.0m
  3500/21318  ok=3500  25.5 tracks/s  eta 11.6m
  4000/21318  ok=4000  25.8 tracks/s  eta 11.2m
  4500/21318  ok=4500  25.7 tracks/s  eta 10.9m
  5000/21318  ok=5000  25.7 tracks/s  eta 10.6m
  5500/21318  ok=5500  25.7 tracks/s  eta 10.3m
  6000/21318  ok=6000  25.9 tracks/s  eta 9.8m
  6500/21318  ok=6500  25.8 tracks/s  eta 9.6m
  7000/21318  ok=7000  25.7 tracks/s  eta 9.3m
  7500/21318  ok=7500  25.9 tracks/s  eta 8.9m
  8000/21318  ok=8000  25.7 tracks/s  eta 8.6m
  8500/21318  ok=8500  25.9 tracks/s  eta 8.3m
  9000/21318  ok=9000  25.8 tracks/s  eta 8.0m
  9500/21318  ok=9500  25.9 tracks/s  eta 7.6m
  10000/21318  ok=10000  25.9 tracks/s  eta 7.3m
  10500/21318  ok=10500  25.8 tracks/s  eta 7.0m
  11000/21318  ok=11000  25.9 tracks/s  eta 6.6m
  11500/21318  ok=11500  25.9 tracks/s  eta 6.3m
  12000/21318  ok=12000  25.8 tracks/s  eta 6.0m
  12500/21318  ok=12500  25.9 tracks/s  eta 5.7m
  13000/21318  ok=13000  25.9 tracks/s  eta 5.4m
  13500/21318  ok=13499  25.9 tracks/s  eta 5.0m
  14000/21318  ok=13999  25.9 tracks/s  eta 4.7m
  14500/21318  ok=14499  25.9 tracks/s  eta 4.4m
  15000/21318  ok=14999  25.9 tracks/s  eta 4.1m
  15500/21318  ok=15499  25.9 tracks/s  eta 3.7m
  16000/21318  ok=15999  25.9 tracks/s  eta 3.4m
  16500/21318  ok=16499  25.9 tracks/s  eta 3.1m
  17000/21318  ok=16999  25.9 tracks/s  eta 2.8m
  17500/21318  ok=17499  25.9 tracks/s  eta 2.5m
  18000/21318  ok=17999  25.9 tracks/s  eta 2.1m
  18500/21318  ok=18499  25.9 tracks/s  eta 1.8m
  19000/21318  ok=18999  25.9 tracks/s  eta 1.5m
  19500/21318  ok=19499  25.9 tracks/s  eta 1.2m
  20000/21318  ok=19999  26.0 tracks/s  eta 0.8m
  20500/21318  ok=20498  25.9 tracks/s  eta 0.5m
  21000/21318  ok=20998  25.9 tracks/s  eta 0.2m
[proc] 21315/21318 usable in 13.7 min
